"Day","Platform","Campaign Name","Creative","AssetType","Spend","Likes","Landing PageViews","VideoViews","VideoCompletions","Impressions","LinkClicks","Shares"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","Clinical Trials","Static","245.46","1484","5","0","0","6363","16","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","Give it A Rest","Static","344.79","2556","17","0","0","20269","35","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","Neighbors","Static","185.59","1636","5","0","0","7980","13","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National_Splinter","THAT Couple","Static","350.11","2435","10","0","0","12161","22","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 1B - Back B","Video","812.61","0","83","8315","2563","415063","205","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 2A - Too bad","Static","51.42","1","6","0","0","27088","24","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 2B - Too Bad B","Video","304.19","0","52","3771","1028","156462","112","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","BOSE ASSET #1","Video","30.34","0","2","759","83","15395","9","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","BOSE ASSET #2","Video","19.43","0","0","509","95","9689","6","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","BOSE ASSET #3","Video","53.43","0","0","2178","973","27740","7","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","BOSE ASSET #4","Video","42.51","1","2","2623","1416","26829","11","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:CNV_Obj:Conversions_Geo:National_Init:New Product","Lifestyle DJ","Static","1501.47","38","114","0","0","65695","181","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:CNV_Obj:Conversions_Geo:National_Init:New Product","Lifestyle DJ B","Video","144.31","0","8","472","110","10564","16","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 10A - Float A","Video","1040.74","64","275","6538","3250","96138","2403","5"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 10B - Float B","Video","35.16","0","53","784","207","11628","91","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QC45_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 9B - Lifestyle DJ B","Video","0.0","0","0","0","0","27","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","3 Bud Sizes","Static","328.44","2","26","0","0","162758","109","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Back to focus.","Static","27.31","0","2","0","0","14266","14","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Cancel the noise","Video","44.82","9","3","1303","162","22194","10","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Different Ears","Video","368.41","15","39","9355","1696","179896","92","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Fashion Designer","Static","15.3","0","3","153","54","7475","6","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Fit for any ear","Video","149.42","5","7","2684","615","73687","21","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Focus","Video","10.61","0","2","118","54","5230","3","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Focus on your craft","Video","73.23","11","7","2342","847","35799","21","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Groove","Video","63.11","6","1","1725","164","31071","11","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Landscapers A","Video","65.81","6","2","1873","67","32824","9","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Landscapers B","Video","6.93","0","0","65","13","3422","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Laptop Mag","Video","37.49","2","4","626","237","18721","10","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Rule the Streets","Video","131.15","0","1","1156","278","64466","22","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Sky's the limit","Static","209.16","0","19","0","0","100884","42","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Superpower","Video","40.55","5","0","1073","222","19993","4","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Take on anything","Static","57.1","3","6","1846","156","28018","10","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Uninterrupted","Video","147.14","29","6","8624","546","70986","47","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Back At It","Up to you","Video","193.12","7","5","3495","492","94549","34","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","DS Gets Ready","Video","21.8","0","2","219","64","8712","7","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","DS Tune Out Noise","Video","1245.62","241","35","33684","872","479566","167","15"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","JF Achieve Greatness","Video","1236.05","10","48","18219","8178","489680","260","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","JF Branded","Video","185.86","56","7","3643","82","73760","11","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","JF Quiet Focus","Video","830.16","31","68","10933","1734","327386","187","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","Lamar Branded Content","Video","196.75","255","8","5384","522","77700","15","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","TL Achieve Greatness","Video","931.0","9","76","22106","6637","358215","326","13"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","TL Block Out","Video","226.16","8","20","5276","278","89072","50","6"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","TL Branded","Video","30.43","34","0","857","12","12382","1","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","ZW Branded","Video","27.67","6","2","329","9","11380","4","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","ZW Calm. Collected.","Video","36.68","0","6","372","94","14095","9","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:NFL","ZW Calm. Collected.60","Video","122.75","3","9","4173","47","51414","39","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 5B - Fierce B","Video","53.68","0","4","561","328","27655","7","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 6A - X 4","Video","1002.96","78","62","31398","11393","522591","199","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Asset 6B - X 4 B","Video","486.95","0","54","5538","3277","253450","143","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:New Product","Fit for any ear","Video","163.71","0","24","1837","661","84599","40","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","Find your calm","Video","672.33","24","19","18975","1635","314027","117","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","Live your art","Video","650.48","0","26","6890","1584","299808","136","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","PC MAG","Video","471.97","27","9","15191","1275","218774","140","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","Rule the Quiet x Woodworker","Video","1526.02","0","207","14529","3924","707976","449","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","WHAT HI•FI","Video","314.12","0","8","3478","794","145145","71","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:AWR_Obj:Reach_Geo:National_Init:Rule The Quiet","You can do it all","Video","570.96","10","10","20307","1637","268778","176","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Black & White","Video","39.38","1","4","249","82","3506","10","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Blue v. Green A","Video","49.36","1","2","267","31","2809","3","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Blue v. Green B","Video","2.56","0","0","10","4","185","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Device of Choice A","Video","117.79","11","9","1014","318","9026","14","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Device of Choice B","Video","3.53","0","0","22","10","283","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Fit for any task","Video","1.4","0","0","7","1","76","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Focus on your art","Video","1.27","0","0","4","2","85","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Fuel focus, quiet stress","Static","207.49","15","56","0","0","20467","90","2"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Gardener","Static","12.29","1","1","0","0","898","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","New beard, new soundtrack","Static","1.81","0","0","0","0","31","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Peach and","Video","12.43","1","0","86","55","1097","2","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Side Hustle","Static","7.27","0","0","0","0","605","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Tune in anywhere","Static","7.41","0","0","0","0","789","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","Up to 6 hours","Video","27.04","0","1","86","24","1040","5","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","World Class Comeback","Video","26.75","0","0","198","15","1694","6","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:Back At It","X Cancelling","Video","8.3","0","9","0","0","1180","10","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:New Product","Outfit A","Static","115.34","13","8","0","0","5673","15","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:New Product","Palette B","Video","57.49","0","13","233","126","9212","16","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CNV_Obj:Conversions_Geo:National_Init:New Product","Perfect Neutral","Static","1512.95","78","412","0","0","84762","535","6"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Any Device A","Video","0.15","0","0","4","0","79","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Any Device B","Video","0.0","0","0","1","1","4","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Any Device C","Video","1.21","0","0","13","6","68","6","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Creativity without interruptions","Video","1587.46","23","724","10925","2785","139145","7563","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Experience the sound","Video","0.9","0","0","2","0","73","5","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Back At It","Inside the tech","Video","1.1","0","0","15","6","190","6","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 13A - Outfit","Static","3.44","0","5","0","0","698","8","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 14A - Perfect Neutral","Static","967.77","343","1179","0","0","230373","2397","29"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:New Product","Asset 14B - Palette B","Video","24.98","0","43","279","128","5722","65","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","Find your calm","Video","1732.48","216","223","78071","18687","258060","542","19"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","Live your art","Video","3794.59","0","184","88573","41961","414189","1168","9"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","PC MAG","Video","4193.06","195","178","223749","40490","724973","1139","12"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","Rule the Quiet x Woodworker","Video","1131.98","0","150","20605","13452","114094","276","3"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","WHAT HI•FI","Video","4079.16","0","197","96729","44602","509505","1174","11"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:CON_Obj:Traffic_Geo:National_Init:Rule The Quiet","You can do it all","Video","690.61","135","48","36282","7628","117187","280","7"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Artistic essentials.","Static","0.01","0","0","0","0","1","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Chalk","Video","2.89","0","0","537","74","2145","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Creative Groove","Video","122.43","15","18","16305","2420","29592","93","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Creative Side","Static","0.02","1","0","0","0","5","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Don't Burn Out","Video","1.44","0","0","259","56","1176","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Motivational lyrics","Video","0.28","0","0","33","12","108","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","My World","Video","733.07","23","74","60959","11642","178734","450","1"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Playlist","Static","0.01","1","0","0","0","1","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Quiet Campus","Video","10.03","0","0","1121","471","3001","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Retro Game","Video","0.49","0","0","77","26","250","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Right Tools","Static","0.01","1","0","0","0","2","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Sounds","Video","1.77","0","0","248","70","708","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Teleport Yourself","Video","0.0","0","0","0","0","1","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Tempt your ears.","Video","15.78","0","1","1866","662","4752","1","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Texting bf - Creator","Static","0.0","0","0","0","0","2","0","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Turn down the office","Video","11.84","0","1","1309","487","3439","3","0"
"2021-10-01","Facebook","Plat:Facebook_Type:Paid Social_Product:QCEB_Funnel:ENG_Obj:Engagements_Geo:National_Init:Back At It","Unleash Creativity","Video","0.17","0","0","31","6","85","0","0"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Chores","Video","1253.92","1057","0","39816","5223","200351","2587","4"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Early Bird","Video","655.14","2134","0","21796","2136","138377","1718","0"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Feel Refreshed","Video","418.8","147","0","12856","1233","69400","874","1"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Fomo","Video","1116.2","2358","0","39195","3088","183784","2550","4"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Nocturnal?","Video","1647.24","1046","0","45652","2539","306620","3660","6"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Priceless","Video","1377.39","6713","0","126059","4363","248451","3267","8"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Productive Sleep","Video","1682.79","2566","0","69275","1989","297767","3827","4"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:CON_Obj:Traffic_Geo:National","Should be sleeping","Video","314.52","332","0","9783","661","62225","802","2"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National","Baby struggle","Video","8.18","13","0","1975","49","2784","13","0"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National","Better Sleep","Video","6.85","10","0","1420","94","2536","10","0"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National","No more naps","Video","699.68","152","0","144364","14792","187434","489","2"
"2021-10-01","TikTok","Plat:TikTok_Type:Paid Social_Product:EE_Funnel:ENG_Obj:Engagements_Geo:National","Stay Up Late","Video","0.0","0","0","0","0","0","0","1"
